Word,Frequency,Rank
women,19,815
sigh,19,816
mention,19,817
recollect,19,818
makes,19,819
Bath,19,820
single,19,821
road,19,822
James,19,823
Nothing,19,824
Hill,19,825
tired,19,826
speech,19,827
circle,18,828
low,18,829
high,18,830
concern,18,831
simple,18,832
Box,18,833
pride,18,834
amused,18,835
lines,18,836
reflection,18,837
play,18,838
rational,18,839
Perhaps,18,840
angry,18,841
desirable,18,842
worthy,18,843
period,18,844
charge,18,845
listen,18,846
close,18,847
Had,18,848
credit,18,849
occurred,18,850
rate,18,851
spend,18,852
busy,18,853
friendly,18,854
Good,18,855
These,18,856
finding,18,857
equally,18,858
law,18,859
severe,18,860
effect,18,861
arrived,18,862
joy,18,863
gives,17,864
remained,17,865
ourselves,17,866
confidence,17,867
slight,17,868
possibly,17,869
stopped,17,870
views,17,871
prevent,17,872
history,17,873
live,17,874
repeated,17,875
laughing,17,876
wishing,17,877
returning,17,878
living,17,879
exercise,17,880
miles,17,881
dreadful,17,882
wedding,17,883
shewed,17,884
smiled,17,885
inferior,17,886
joined,17,887
dislike,17,888
growing,17,889
Coles,17,890
run,17,891
Did,17,892
promised,17,893
humour,17,894
Weymouth,17,895
However,17,896
alarm,17,897
regular,17,898
warmly,17,899
thousand,16,900
minute,16,901
cause,16,902
laughed,16,903
office,16,904
during,16,905
refuse,16,906
opened,16,907
depend,16,908
welcome,16,909
delicacy,16,910
proved,16,911
education,16,912
neighbours,16,913
future,16,914
conviction,16,915
liked,16,916
agitation,16,917
intended,16,918
gentle,16,919
arm,16,920
reached,16,921
trouble,16,922
cut,16,923
elegance,16,924
ideas,16,925
whatever,16,926
fully,16,927
suffering,16,928
seriously,16,929
mere,16,930
waiting,16,931
snow,16,932
occupied,16,933
admired,16,934
ways,16,935
listened,16,936
line,16,937
getting,16,938
Where,16,939
fire,16,940
Ford,16,941
Thank,16,942
laugh,16,943
amusement,16,944
act,15,945
drawn,15,946
nonsense,15,947
chosen,15,948
Churchills,15,949
concerned,15,950
gratified,15,951
share,15,952
dine,15,953
rooms,15,954
comprehend,15,955
express,15,956
anywhere,15,957
opening,15,958
interested,15,959
nephew,15,960
mistake,15,961
stood,15,962
ground,15,963
agree,15,964
confusion,15,965
hundred,15,966
tolerably,15,967
itself,15,968
value,15,969
reading,15,970
grateful,15,971
invited,15,972
cure,15,973
happily,15,974
belong,15,975
totally,15,976
placed,15,977
assured,15,978
Pray,15,979
prepared,15,980
apples,15,981
required,14,982
absence,14,983
Ireland,14,984
caution,14,985
passage,14,986
proposed,14,987
merit,14,988
visits,14,989
nearly,14,990
powers,14,991
remain,14,992
escape,14,993
produced,14,994
writing,14,995
musical,14,996
assistance,14,997
hold,14,998
sea,14,999
fears,14,1000
favourable,14,1001
